日期,新建商品住宅销售价格指数(上月=100),城市,类别123,类别0123,date,销售价格变动,hp
2012年5月,100.0,泸州,3,3,2012-05-01,0.0,1.2895142877825732
2012年4月,99.9,泸州,3,3,2012-04-01,-0.0009999999999998899,1.2895142877825732
2012年3月,100.0,泸州,3,3,2012-03-01,0.0,1.2908050928754484
2012年2月,99.9,泸州,3,3,2012-02-01,-0.0009999999999998899,1.2908050928754484
2012年1月,99.9,泸州,3,3,2012-01-01,-0.0009999999999998899,1.2920971900655138
2011年12月,100.0,泸州,3,3,2011-12-01,0.0,1.2933905806461599
2011年11月,100.0,泸州,3,3,2011-11-01,0.0,1.2933905806461599
2011年10月,100.1,泸州,3,3,2011-10-01,0.0009999999999998899,1.2933905806461599
2011年9月,100.2,泸州,3,3,2011-09-01,0.0020000000000000018,1.292098482163996
2011年8月,100.2,泸州,3,3,2011-08-01,0.0020000000000000018,1.289519443277441
2011年7月,100.8,泸州,3,3,2011-07-01,0.008000000000000007,1.2869455521730948
2011年6月,100.1,泸州,3,3,2011-06-01,0.0009999999999998899,1.2767316985844195
2011年5月,100.2,泸州,3,3,2011-05-01,0.0020000000000000018,1.2754562423420774
2011年4月,100.2,泸州,3,3,2011-04-01,0.0020000000000000018,1.2729104214990792
2011年3月,100.1,泸州,3,3,2011-03-01,0.0009999999999998899,1.2703696821348096
2011年2月,100.3,泸州,3,3,2011-02-01,0.0029999999999998916,1.2691005815532566
2011年1月,99.5,泸州,3,3,2011-01-01,-0.0050000000000000044,1.2653046675506048
2010年12月,100.1,泸州,3,3,2010-12-01,0.0009999999999998899,1.2716629824629193
2010年11月,100.2,泸州,3,3,2010-11-01,0.0020000000000000018,1.2703925898730464
2010年10月,99.9,泸州,3,3,2010-10-01,-0.0009999999999998899,1.2678568761208047
2010年9月,100.1,泸州,3,3,2010-09-01,0.0009999999999998899,1.2691260021229274
2010年8月,99.9,泸州,3,3,2010-08-01,-0.0009999999999998899,1.2678581439789485
2010年7月,100.2,泸州,3,3,2010-07-01,0.0020000000000000018,1.2691272712501984
2010年6月,100.0,泸州,3,3,2010-06-01,0.0,1.2665940830840303
2010年5月,100.2,泸州,3,3,2010-05-01,0.0020000000000000018,1.2665940830840303
2010年4月,100.2,泸州,3,3,2010-04-01,0.0020000000000000018,1.264065951181667
2010年3月,100.7,泸州,3,3,2010-03-01,0.007000000000000117,1.2615428654507654
2010年2月,100.6,泸州,3,3,2010-02-01,0.006000000000000005,1.2527734512917232
2010年1月,100.6,泸州,3,3,2010-01-01,0.006000000000000005,1.2453016414430649
2009年12月,100.6,泸州,3,3,2009-12-01,0.006000000000000005,1.2378743950726292
2009年11月,100.4,泸州,3,3,2009-11-01,0.0040000000000000036,1.2304914463942636
2009年10月,100.3,泸州,3,3,2009-10-01,0.0029999999999998916,1.225589090034127
2009年9月,100.6,泸州,3,3,2009-09-01,0.006000000000000005,1.2219233200739055
2009年8月,100.3,泸州,3,3,2009-08-01,0.0029999999999998916,1.2146355070317152
2009年7月,100.6,泸州,3,3,2009-07-01,0.006000000000000005,1.211002499533116
2009年6月,100.9,泸州,3,3,2009-06-01,0.009000000000000119,1.2037798206094592
2009年5月,100.3,泸州,3,3,2009-05-01,0.0029999999999998916,1.1930424386615055
2009年4月,100.4,泸州,3,3,2009-04-01,0.0040000000000000036,1.1894740166116706
2009年3月,100.3,泸州,3,3,2009-03-01,0.0029999999999998916,1.1847350763064448
2009年2月,100.2,泸州,3,3,2009-02-01,0.0020000000000000018,1.1811915018010417
2009年1月,99.4,泸州,3,3,2009-01-01,-0.005999999999999894,1.1788338341327762
2008年12月,99.6,泸州,3,3,2008-12-01,-0.0040000000000000036,1.1859495313207002
2008年11月,99.1,泸州,3,3,2008-11-01,-0.009000000000000008,1.1907123808440765
2008年10月,99.8,泸州,3,3,2008-10-01,-0.0020000000000000018,1.20152611588706
2008年9月,99.8,泸州,3,3,2008-09-01,-0.0020000000000000018,1.2039339838547696
2008年8月,99.8,泸州,3,3,2008-08-01,-0.0020000000000000018,1.206346677209188
2008年7月,99.7,泸州,3,3,2008-07-01,-0.0030000000000000027,1.2087642056204289
2008年6月,99.9,泸州,3,3,2008-06-01,-0.0009999999999998899,1.2124014098499787
